区分,人数,備考
母集団(顧客DB・突破Aiクルー),176,2026-09-01時点
判定済み,148,課金判定日を迎えた人数
うち課金,6,転換率4.1%
うち退会フォーム提出,50,
うち失効(何もせず),88,
うちUMU未登録,1,購入者シート行重複によるskipped
うち要確認,3,DB資格有効なのにStripe課金実態なし(canceledのみ2・該当なし1)=不整合疑い
無料期間中(勝負中),28,課金判定日9/3〜9/30
