区分,人数,備考
未ログイン者リスト総数,87,2026-09-01時点・顧客DB突合100%(前回未登録6名は追加反映済)
ロール別:クルー,57,形跡なし48+形跡あり9
ロール別:メンター,20,形跡なし17+形跡あり3
ロール別:リーダー,10,形跡なし8+形跡あり2
セグメント:★最優先フォロー,44,登録15日超・ログイン形跡ゼロ
セグメント:様子見,29,登録14日以内
セグメント:長期休眠,9,形跡ありだが181日超
セグメント:要確認,5,直近30日以内に活動記録
参考:アクティブ率,16.1%,14/87名に何らかのログイン形跡
